Poorva Foods Ladoos - Groundnut Sweet Ball, Sesam Sweet  Ball, Shev Sweet Ball 360 gm  Rs. 114
Haldirams  Rasgulla 1 kg Tin  Rs. 153
Haldirams  Soan Papdi 250 gm Pouch  Rs. 57
Haldirams  Rasgulla 450 gm Bottle  Rs. 114
Haldirams  Gulab Jamun 1 kg Tin  Rs. 228
Haldirams  Gulab Jamun 500 gm Tin  Rs. 456
Nestle Milkybar - Choo 10 gm Pouch  Rs. 83.60
Haldirams  Malai Chop Chamcham 400 gm  Rs. 220.88
Nandini Kunda 250 gm Tin  Rs. 441.75
Asha Sweets Sweets - Kaju Burfy 200 gm  Rs. 97.85
Asha Sweets Sweets - Kaju Burfy 500 gm  Rs. 245.10
Asha Sweets Sweets - Kaju Burfy 1 kg  Rs. 489.25
Nutty Bite Chikki Ball - Black Til 100 gm Pouch  Rs. 76
Asha Sweets Sweets - Crispy Mysore Pak 200 gm  Rs. 190
Asha Sweets Sweets - Crispy Mysore Pak 500 gm  Rs. 380
Asha Sweets Sweets - Crispy Mysore Pak 1 kg  Rs. 88.35
Maiyas Ready To Eat - Gulab Jamun 500 gm Tin  Rs. 220.88
Asha Sweets Sweets - Bisunit Mixture 250 gm  Rs. 441.75
Haldirams  Motichoor Laddoo 400 gm  Rs. 100.70
MTR Rasogolla 1 kg Tin  Rs. 251.75
MTR Rasogolla 120 gm Tub  Rs. 503.50
Asha Sweets Sweets - Dood Peda 200 gm  Rs. 90.02
Asha Sweets Sweets - Dood Peda 500 gm  Rs. 225.15
Asha Sweets Sweets - Dood Peda 1 kg  Rs. 450.30
Asha Sweets Sweets - Mysore Pak 200 gm  Rs. 97.85
Asha Sweets Sweets - Mysore Pak 500 gm  Rs. 249.38
Asha Sweets Sweets - Mysore Pak 1 kg  Rs. 498.75
Nandini Rossogolla 500 gm Tin  Rs. 199.50
MTR Rasogolla 500 gm Tin  Rs. 498.75
Haldirams  Orange Burfee 400 gm  Rs. 997.50
Haldirams  Sweets - Cham Cham 1 kg Tin  Rs. 90.25
Maiyas Regular - Soan Papdi 200 gm Carton  Rs. 225.15
Nestle Extra Smooth - Chocolate 36 gm Pouch  Rs. 450.30
Asha Sweets Sweets - Laddu 200 gm  Rs. 95.95
Asha Sweets Sweets - Laddu 500 gm  Rs. 239.88
Asha Sweets Sweets - Laddu 1 kg  Rs. 479.75
Dezire Gulab Jamun - Low Glycemic Sugarless 500 gm  Rs. 446.50
Asha Sweets Sweets - Badam Pista Laddu 200 gm  Rs. 89.30
Lal Halwa - Karachi 200 gm Carton  Rs. 223.25
Anand Sweets and Savouries Sweets - Meetaaz 300 gm Box  Rs. 498.75
Anand Sweets and Savouries Sweets - Chikki 300 gm Box  Rs. 99.75
Ats Sweets Cake - Peanut 75 gm Pouch  Rs. 249.38
Maiyas Soan Papdi 70 gm Carton  Rs. 28.50
Asha Sweets Sweets - Kesar Malai Peda 200 gm  Rs. 21.85
Asha Sweets Sweets - Kesar Malai Peda 500 gm  Rs. 28.50
Asha Sweets Sweets - Kesar Malai Peda 1 kg  Rs. 11.40
Asha Sweets Sweets - Badam Halwa 50 gm  Rs. 74.37
Asha Sweets Sweets - Bombay Halwa 200 gm  Rs. 190
Asha Sweets Sweets - Bombay Halwa 500 gm  Rs. 380
Asha Sweets Sweets - Bombay Halwa 1 kg  Rs. 180.50
Asha Sweets Sweets - Kaju Roll 200 gm  Rs. 97.50
Asha Sweets Sweets - Kaju Roll 500 gm  Rs. 21.85
Asha Sweets Sweets - Kaju Roll 1 kg  Rs. 177.65
Asha Sweets Sweets - Kaju Pan 200 gm  Rs. 228
Asha Sweets Sweets - Kaju Pan 500 gm  Rs. 161.50
Asha Sweets Sweets - Kaju Pan 1 kg  Rs. 76
Asha Sweets Sweets - Chocolate Burfy 200 gm  Rs. 140.38
